id,date_of_birth,gender,img,name,bio
19,1964-07-26,Female,...,"Sandra Bullock","Sandra Annette Bullock is an American actress and producer. She has received numerous awards and nominations, including an Academy Award and a Golden Globe Award. She was the world's highest-paid actress in 2010 and 2014. In 2010, she was named one of Time's 100 most influential people in the world."
20,1980-04-26,Male,...,"Channing Tatum","Channing Matthew Tatum is an American actor. Tatum made his film debut in the drama Coach Carter, and had his breakthrough role in the 2006 dance film Step Up."
21,1963-12-18,Male,...,"Brad Pitt","William Bradley Pitt is an American actor and film producer. He is the recipient of various accolades, including two Academy Awards, two British Academy Film Awards, two Golden Globe Awards, and a Primetime Emmy Award."
22,1982-10-10,Male,...,"Dan Stevens","Daniel Jonathan Stevens is an English actor. He first drew international attention for his role as Matthew Crawley in the ITV acclaimed period drama series Downton Abbey."
23,1979-04-15,Male,...,"Luke Evans","Luke George Evans is a Welsh actor and singer. He began his career on the stage, performing in many of London's West End productions such as Rent, Miss Saigon, and Piaf before making his film breakthrough in the Clash of the Titans 2010 remake."
24,1994-04-12,Female,...,"Saoirse Ronan","Saoirse Una Ronan is an American-born Irish actress. Primarily known for her work in period dramas since adolescence, she has received various accolades, including a Golden Globe Award, in addition to nominations for four Academy Awards and five British Academy Film Awards."
25,1996-03-01,Female,...,"Florence Pugh","Florence Pugh is an English actress. She made her acting debut in 2014 in the drama film The Falling"
26,1992-01-19,Male,...,"Logan Lerman","Logan Wade Lerman is an American actor. He is known for playing the titular role in the fantasy-adventure Percy Jackson films. He appeared in commercials in the mid-1990s, before starring in the series Jack & Bobby and the movies The Butterfly Effect and Hoot."
27,1992-09-30,Male,...,"Ezra Miller","Ezra Matthew Miller is an American actor. Their feature film debut was in Afterschool, which they followed by starring in the dramas We Need to Talk About Kevin and The Perks of Being a Wallflower."
28,1984-11-22,Female,...,"Scarlett Johansson","Scarlett Ingrid Johansson is an American actress. The world's highest-paid actress in 2018 and 2019, she has featured multiple times on the Forbes Celebrity 100 list. Time named her one of the 100 most influential people in the world in 2021."
29,1970-03-07,Female,...,"Rachel Weisz","Rachel Hannah Weisz is a British actress and model. She began acting in stage and television productions in the early 1990s, and made her film debut in Death Machine."
30,1988-12-01,Female,...,"Zoe Kravitz","Zoë Isabella Kravitz is an American actress, singer, and model. She made her acting debut in the romantic comedy film No Reservations. Her breakthrough came with portraying Angel Salvadore in the superhero film X-Men: First Class, which earned her nominations for a Teen Choice Award and a Scream Award."
31,1984-06-19,Male,...,"Paul Dano","Paul Franklin Dano is an American actor. He began his career on Broadway. He won the Independent Spirit Award for Best Debut Performance for his role in L.I.E. and gained wider recognition for playing a troubled teenager in Little Miss Sunshine."
32,1978-02-20,Female,...,"Lauren Ambrose","Lauren Ambrose is an American actress and singer. Ambrose gained recognition and critical acclaim for her starring role as Claire Fisher in the HBO drama series Six Feet Under, for which she was nominated for two Primetime Emmy Awards and won two Screen Actors Guild Awards."
33,1999-10-13,Female,...,"Nell Tiger Free","Nell Tiger Free (born 13 October 1999) is a British actress. She is best known for her role as Leanne Grayson in the television series Servant, and as Myrcella Baratheon in seasons 5 and 6 of the television series Game of Thrones, replacing Aimee Richardson."
34,1969-01-18,Male,...,"Dave Bautista","David Michael Bautista Jr. is an American actor and retired professional wrestler. He had several stints in WWE between 2002 and 2019."
35,1970-08-06,Male,...,"M. Night Shyamalan","Manoj Nelliyattu M. Night Shyamalan is an American film director, screenwriter, and producer. He is best known for making original films with contemporary supernatural plots and twist endings. The cumulative gross of his films exceeds $3.4 billion globally."
36,1937-12-31,Male,...,"Anthony Hopkins","Sir Philip Anthony Hopkins CBE is a Welsh actor, director, and producer. One of Britain's most recognisable and prolific actors, he is known for his performances on the screen and stage. "
37,1969-08-18,Male,...,"Edward Norton","Edward Harrison Norton is an American actor. Norton was drawn to theatrical productions at local venues as a child. After graduating from Yale College in 1991, he worked for a few months in Japan before moving to Manhattan to pursue an acting career."
38,1960-11-11,Male,...,"Stanley Tucci","Stanley Tucci Jr. is an American actor and filmmaker. Known as a character actor, he has played a wide variety of characters ranging from menacing to sophisticated."
39,1986-02-02,Female,...,"Gemma Arterton","Gemma Christina Arterton is an English actress and producer. After her stage debut in Shakespeare's Love's Labour's Lost at the Globe Theatre, Arterton made her feature film debut in the comedy St Trinian's."
